Datetime, Timestamp, Low, High, Open, Close, Vol
9/11/2017 0:00,1505088000,4111.14,4365,4251.36,4210.72,9068.255076
9/10/2017 0:00,1505001600,4139,4349.99,4334.36,4251.36,10076.12879
9/9/2017 0:00,1504915200,4180,4449.95,4350,4334.36,10073.89559
9/8/2017 0:00,1504828800,4140,4679.99,4624.18,4350,22102.27913
9/7/2017 0:00,1504742400,4475.01,4665.44,4616.18,4624.18,8455.04148
9/6/2017 0:00,1504656000,4431,4692,4432.51,4616.18,16174.30433
9/5/2017 0:00,1504569600,4242.38,4514.95,4498.46,4432.51,17315.43019
9/4/2017 0:00,1504483200,4234.16,4628.05,4626.05,4498.25,20518.88448
9/3/2017 0:00,1504396800,4524,4749.99,4642.39,4626.05,11568.85877
9/2/2017 0:00,1504310400,4500,4980,4948,4649.99,19577.18875
9/1/2017 0:00,1504224000,4706,4948,4743.94,4947.99,16759.14361
8/31/2017 0:00,1504137600,4580.84,4769.03,4581.98,4743.94,13628.45778
8/30/2017 0:00,1504051200,4500.55,4635.21,4599.01,4581.98,10383.4343
8/29/2017 0:00,1503964800,4350,4656.83,4384.99,4599,14509.95812
8/28/2017 0:00,1503878400,4200,4396,4343.5,4384.99,10452.60382
8/27/2017 0:00,1503792000,4309.87,4392,4344.32,4340.11,7041.344202
8/26/2017 0:00,1503705600,4260.01,4374.39,4360,4344.32,6146.478762
8/25/2017 0:00,1503619200,4284.01,4453.9,4312.03,4360,10918.77973
8/24/2017 0:00,1503532800,4112.76,4349.99,4142.5,4312.03,10247.98421
8/23/2017 0:00,1503446400,4058.26,4247.88,4092,4143.49,11746.00415
8/22/2017 0:00,1503360000,3583.46,4145,4002,4092,21921.77905
8/21/2017 0:00,1503273600,3950.88,4089.99,4050.99,4002,12417.65708
8/20/2017 0:00,1503187200,4044.52,4190.21,4157.41,4050.99,8331.872359
8/19/2017 0:00,1503100800,4000,4186.1,4101.72,4157.41,10502.74082
8/18/2017 0:00,1503014400,3960.47,4350,4280.01,4101.72,20823.05142
8/17/2017 0:00,1502928000,4180,4469,4370.01,4280.01,19980.89161
8/16/2017 0:00,1502841600,3928.82,4385.5,4159.93,4370.01,17969.62621
8/15/2017 0:00,1502755200,3807.14,4434.42,4320.53,4159.93,32018.06822
8/14/2017 0:00,1502668800,3985.01,4328,4060.47,4320.6,20059.96197
8/13/2017 0:00,1502582400,3850,4200,3874,4060.47,23522.14199
8/12/2017 0:00,1502496000,3622.87,3974,3656.14,3874,18972.14336
8/11/2017 0:00,1502409600,3416.86,3725,3444.98,3656.15,15315.75236
8/10/2017 0:00,1502323200,3317,3448,3342.8,3444.98,9348.359149
8/8/2017 0:00,1502150400,3349.91,3489,3398.23,3422.43,16013.93348
8/7/2017 0:00,1502064000,3190,3416,3222.22,3398.23,11324.9162
8/6/2017 0:00,1501977600,3150,3278.42,3243.5,3222.22,8666.200782
8/5/2017 0:00,1501891200,2857.34,3335,2857.34,3243.49,21614.60061
8/4/2017 0:00,1501804800,2760,2877.79,2787.05,2857.34,7714.98048
8/3/2017 0:00,1501718400,2699.89,2799,2699.9,2787.02,7425.957456
8/2/2017 0:00,1501632000,2650,2758.06,2731.6,2699.9,8422.275377
8/1/2017 0:00,1501545600,2676.01,2925,2856.89,2732.59,9772.969475
7/31/2017 0:00,1501459200,2700,2900,2723.99,2856.88,11460.18024
7/30/2017 0:00,1501372800,2500,2739.98,2700.2,2723.99,8453.322768
